# fylite/ids-table/1
# dd_version 4.1.1
# ids distribution_sources
# columns path kind ndim units coordinates same_as alternatives
ids_properties	S	0				
ids_properties/comment	T	0				
ids_properties/name	T	0				
ids_properties/homogeneous_time	I	0				
ids_properties/occurrence_type	S	0				
ids_properties/occurrence_type/name	T	0				
ids_properties/occurrence_type/index	I	0				
ids_properties/occurrence_type/description	T	0				
ids_properties/provider	T	0				
ids_properties/creation_date	T	0				
ids_properties/version_put	S	0				
ids_properties/version_put/data_dictionary	T	0				
ids_properties/version_put/access_layer	T	0				
ids_properties/version_put/access_layer_language	T	0				
ids_properties/provenance	S	0				
ids_properties/provenance/node	A	1		1...N		
ids_properties/provenance/node/path	T	0				
ids_properties/provenance/node/reference	A	1		1...N		
ids_properties/provenance/node/reference/name	T	0				
ids_properties/provenance/node/reference/timestamp	T	0				
ids_properties/plugins	S	0				
ids_properties/plugins/node	A	1		1...N		
ids_properties/plugins/node/path	T	0				
ids_properties/plugins/node/put_operation	A	1		1...N		
ids_properties/plugins/node/put_operation/name	T	0				
ids_properties/plugins/node/put_operation/description	T	0				
ids_properties/plugins/node/put_operation/commit	T	0				
ids_properties/plugins/node/put_operation/version	T	0				
ids_properties/plugins/node/put_operation/repository	T	0				
ids_properties/plugins/node/put_operation/parameters	T	0				
ids_properties/plugins/node/put_operation/library	A	1		1...N		
ids_properties/plugins/node/put_operation/library/name	T	0				
ids_properties/plugins/node/put_operation/library/description	T	0				
ids_properties/plugins/node/put_operation/library/commit	T	0				
ids_properties/plugins/node/put_operation/library/version	T	0				
ids_properties/plugins/node/put_operation/library/repository	T	0				
ids_properties/plugins/node/put_operation/library/parameters	T	0				
ids_properties/plugins/node/readback	A	1		1...N		
ids_properties/plugins/node/readback/name	T	0				
ids_properties/plugins/node/readback/description	T	0				
ids_properties/plugins/node/readback/commit	T	0				
ids_properties/plugins/node/readback/version	T	0				
ids_properties/plugins/node/readback/repository	T	0				
ids_properties/plugins/node/readback/parameters	T	0				
ids_properties/plugins/node/readback/library	A	1		1...N		
ids_properties/plugins/node/readback/library/name	T	0				
ids_properties/plugins/node/readback/library/description	T	0				
ids_properties/plugins/node/readback/library/commit	T	0				
ids_properties/plugins/node/readback/library/version	T	0				
ids_properties/plugins/node/readback/library/repository	T	0				
ids_properties/plugins/node/readback/library/parameters	T	0				
ids_properties/plugins/node/get_operation	A	1		1...N		
ids_properties/plugins/node/get_operation/name	T	0				
ids_properties/plugins/node/get_operation/description	T	0				
ids_properties/plugins/node/get_operation/commit	T	0				
ids_properties/plugins/node/get_operation/version	T	0				
ids_properties/plugins/node/get_operation/repository	T	0				
ids_properties/plugins/node/get_operation/parameters	T	0				
ids_properties/plugins/node/get_operation/library	A	1		1...N		
ids_properties/plugins/node/get_operation/library/name	T	0				
ids_properties/plugins/node/get_operation/library/description	T	0				
ids_properties/plugins/node/get_operation/library/commit	T	0				
ids_properties/plugins/node/get_operation/library/version	T	0				
ids_properties/plugins/node/get_operation/library/repository	T	0				
ids_properties/plugins/node/get_operation/library/parameters	T	0				
ids_properties/plugins/infrastructure_put	S	0				
ids_properties/plugins/infrastructure_put/name	T	0				
ids_properties/plugins/infrastructure_put/description	T	0				
ids_properties/plugins/infrastructure_put/commit	T	0				
ids_properties/plugins/infrastructure_put/version	T	0				
ids_properties/plugins/infrastructure_put/repository	T	0				
ids_properties/plugins/infrastructure_get	S	0				
ids_properties/plugins/infrastructure_get/name	T	0				
ids_properties/plugins/infrastructure_get/description	T	0				
ids_properties/plugins/infrastructure_get/commit	T	0				
ids_properties/plugins/infrastructure_get/version	T	0				
ids_properties/plugins/infrastructure_get/repository	T	0				
source	A	1		1...N		
source/process	A	1		1...N		
source/process/type	S	0				
source/process/type/name	T	0				
source/process/type/index	I	0				
source/process/type/description	T	0				
source/process/reactant_energy	S	0				
source/process/reactant_energy/name	T	0				
source/process/reactant_energy/index	I	0				
source/process/reactant_energy/description	T	0				
source/process/nbi_energy	S	0				
source/process/nbi_energy/name	T	0				
source/process/nbi_energy/index	I	0				
source/process/nbi_energy/description	T	0				
source/process/nbi_unit	I	0				
source/process/nbi_beamlets_group	I	0				
source/gyro_type	I	0				
source/species	S	0				
source/species/type	S	0				
source/species/type/name	T	0				
source/species/type/index	I	0				
source/species/type/description	T	0				
source/species/ion	S	0				
source/species/ion/element	A	1		1...N		
source/species/ion/element/a	F	0	u			
source/species/ion/element/z_n	I	0	e			
source/species/ion/element/atoms_n	I	0				
source/species/ion/z_ion	F	0	e			
source/species/ion/name	T	0				
source/species/ion/state	S	0				
source/species/ion/state/z_min	F	0	e			
source/species/ion/state/z_max	F	0	e			
source/species/ion/state/name	T	0				
source/species/ion/state/electron_configuration	T	0				
source/species/ion/state/vibrational_level	F	0	e			
source/species/ion/state/vibrational_mode	T	0				
source/species/neutral	S	0				
source/species/neutral/element	A	1		1...N		
source/species/neutral/element/a	F	0	u			
source/species/neutral/element/z_n	I	0	e			
source/species/neutral/element/atoms_n	I	0				
source/species/neutral/name	T	0				
source/species/neutral/state	S	0				
source/species/neutral/state/name	T	0				
source/species/neutral/state/electron_configuration	T	0				
source/species/neutral/state/vibrational_level	F	0	e			
source/species/neutral/state/vibrational_mode	T	0				
source/species/neutral/state/neutral_type	S	0				
source/species/neutral/state/neutral_type/name	T	0				
source/species/neutral/state/neutral_type/index	I	0				
source/species/neutral/state/neutral_type/description	T	0				
source/global_quantities	A	1		source(i1)/global_quantities(itime)/time		
source/global_quantities/power	F	0	W			
source/global_quantities/torque_phi	F	0	N.m			
source/global_quantities/particles	F	0	s^-1			
source/global_quantities/shinethrough	S	0				
source/global_quantities/shinethrough/power	F	0	W			
source/global_quantities/shinethrough/particles	F	0	s^-1			
source/global_quantities/shinethrough/torque_phi	F	0	N.m			
source/global_quantities/time	F	0	s			
source/profiles_1d	A	1		source(i1)/profiles_1d(itime)/time		
source/profiles_1d/grid	S	0				
source/profiles_1d/grid/rho_tor_norm	F	1	1	1...N		source(i1)/profiles_1d(itime)/grid/rho_tor;source(i1)/profiles_1d(itime)/grid/psi;source(i1)/profiles_1d(itime)/grid/volume;source(i1)/profiles_1d(itime)/grid/area;source(i1)/profiles_1d(itime)/grid/surface;source(i1)/profiles_1d(itime)/grid/rho_pol_norm
source/profiles_1d/grid/rho_tor	F	1	m	source(i1)/profiles_1d(itime)/grid/rho_tor_norm		
source/profiles_1d/grid/rho_pol_norm	F	1	1	source(i1)/profiles_1d(itime)/grid/rho_tor_norm		
source/profiles_1d/grid/psi	F	1	Wb	source(i1)/profiles_1d(itime)/grid/rho_tor_norm		
source/profiles_1d/grid/volume	F	1	m^3	source(i1)/profiles_1d(itime)/grid/rho_tor_norm		
source/profiles_1d/grid/area	F	1	m^2	source(i1)/profiles_1d(itime)/grid/rho_tor_norm		
source/profiles_1d/grid/surface	F	1	m^2	source(i1)/profiles_1d(itime)/grid/rho_tor_norm		
source/profiles_1d/grid/psi_magnetic_axis	F	0	Wb			
source/profiles_1d/grid/psi_boundary	F	0	Wb			
source/profiles_1d/energy	F	1	W.m^-3	source(i1)/profiles_1d(itime)/grid/rho_tor_norm		
source/profiles_1d/momentum_phi	F	1	N.m^-2	source(i1)/profiles_1d(itime)/grid/rho_tor_norm		
source/profiles_1d/particles	F	1	s^-1.m^-3	source(i1)/profiles_1d(itime)/grid/rho_tor_norm		
source/profiles_1d/time	F	0	s			
source/ggd	A	1		source(i1)/ggd(itime)/time		
source/ggd/grid	S	0				
source/ggd/grid/identifier	S	0				
source/ggd/grid/identifier/name	T	0				
source/ggd/grid/identifier/index	I	0				
source/ggd/grid/identifier/description	T	0				
source/ggd/grid/path	T	0				
source/ggd/grid/space	A	1		1...N		
source/ggd/grid/space/identifier	S	0				
source/ggd/grid/space/identifier/name	T	0				
source/ggd/grid/space/identifier/index	I	0				
source/ggd/grid/space/identifier/description	T	0				
source/ggd/grid/space/geometry_type	S	0				
source/ggd/grid/space/geometry_type/name	T	0				
source/ggd/grid/space/geometry_type/index	I	0				
source/ggd/grid/space/geometry_type/description	T	0				
source/ggd/grid/space/coordinates_type	A	1		1...N		
source/ggd/grid/space/coordinates_type/name	T	0				
source/ggd/grid/space/coordinates_type/index	I	0				
source/ggd/grid/space/coordinates_type/description	T	0				
source/ggd/grid/space/objects_per_dimension	A	1		1...N		
source/ggd/grid/space/objects_per_dimension/object	A	1		1...N		
source/ggd/grid/space/objects_per_dimension/object/boundary	A	1		1...N		
source/ggd/grid/space/objects_per_dimension/object/boundary/index	I	0				
source/ggd/grid/space/objects_per_dimension/object/boundary/neighbours	I	1		1...N		
source/ggd/grid/space/objects_per_dimension/object/geometry	F	1	mixed	1...N		
source/ggd/grid/space/objects_per_dimension/object/nodes	I	1		1...N		
source/ggd/grid/space/objects_per_dimension/object/measure	F	0	m^dimension			
source/ggd/grid/space/objects_per_dimension/object/geometry_2d	F	2	mixed	1...N|1...N		
source/ggd/grid/space/objects_per_dimension/geometry_content	S	0				
source/ggd/grid/space/objects_per_dimension/geometry_content/name	T	0				
source/ggd/grid/space/objects_per_dimension/geometry_content/index	I	0				
source/ggd/grid/space/objects_per_dimension/geometry_content/description	T	0				
source/ggd/grid/grid_subset	A	1		1...N		
source/ggd/grid/grid_subset/identifier	S	0				
source/ggd/grid/grid_subset/identifier/name	T	0				
source/ggd/grid/grid_subset/identifier/index	I	0				
source/ggd/grid/grid_subset/identifier/description	T	0				
source/ggd/grid/grid_subset/dimension	I	0				
source/ggd/grid/grid_subset/element	A	1		1...N		
source/ggd/grid/grid_subset/element/object	A	1		1...N		
source/ggd/grid/grid_subset/element/object/space	I	0				
source/ggd/grid/grid_subset/element/object/dimension	I	0				
source/ggd/grid/grid_subset/element/object/index	I	0				
source/ggd/grid/grid_subset/base	A	1		1...N		
source/ggd/grid/grid_subset/base/jacobian	F	1	mixed	source(i1)/ggd(itime)/grid/grid_subset(i2)/element		
source/ggd/grid/grid_subset/base/tensor_covariant	F	3	mixed	source(i1)/ggd(itime)/grid/grid_subset(i2)/element|1...N|1...N		
source/ggd/grid/grid_subset/base/tensor_contravariant	F	3	mixed	source(i1)/ggd(itime)/grid/grid_subset(i2)/element|1...N|1...N	|source(i1)/ggd(itime)/grid/grid_subset(i2)/base(i3)/tensor_covariant|source(i1)/ggd(itime)/grid/grid_subset(i2)/base(i3)/tensor_covariant	
source/ggd/grid/grid_subset/metric	S	0				
source/ggd/grid/grid_subset/metric/jacobian	F	1	mixed	source(i1)/ggd(itime)/grid/grid_subset(i2)/element		
source/ggd/grid/grid_subset/metric/tensor_covariant	F	3	mixed	source(i1)/ggd(itime)/grid/grid_subset(i2)/element|1...N|1...N		
source/ggd/grid/grid_subset/metric/tensor_contravariant	F	3	mixed	source(i1)/ggd(itime)/grid/grid_subset(i2)/element|1...N|1...N	|source(i1)/ggd(itime)/grid/grid_subset(i2)/metric/tensor_covariant|source(i1)/ggd(itime)/grid/grid_subset(i2)/metric/tensor_covariant	
source/ggd/particles	A	1	(m.s^-1)^-3.m^-3.s^-1	1...N		
