# fylite/ids-table/1
# dd_version 4.1.1
# ids plasma_profiles
# columns path kind ndim units coordinates same_as alternatives
ids_properties	S	0				
ids_properties/comment	T	0				
ids_properties/name	T	0				
ids_properties/homogeneous_time	I	0				
ids_properties/occurrence_type	S	0				
ids_properties/occurrence_type/name	T	0				
ids_properties/occurrence_type/index	I	0				
ids_properties/occurrence_type/description	T	0				
ids_properties/provider	T	0				
ids_properties/creation_date	T	0				
ids_properties/version_put	S	0				
ids_properties/version_put/data_dictionary	T	0				
ids_properties/version_put/access_layer	T	0				
ids_properties/version_put/access_layer_language	T	0				
ids_properties/provenance	S	0				
ids_properties/provenance/node	A	1		1...N		
ids_properties/provenance/node/path	T	0				
ids_properties/provenance/node/reference	A	1		1...N		
ids_properties/provenance/node/reference/name	T	0				
ids_properties/provenance/node/reference/timestamp	T	0				
ids_properties/plugins	S	0				
ids_properties/plugins/node	A	1		1...N		
ids_properties/plugins/node/path	T	0				
ids_properties/plugins/node/put_operation	A	1		1...N		
ids_properties/plugins/node/put_operation/name	T	0				
ids_properties/plugins/node/put_operation/description	T	0				
ids_properties/plugins/node/put_operation/commit	T	0				
ids_properties/plugins/node/put_operation/version	T	0				
ids_properties/plugins/node/put_operation/repository	T	0				
ids_properties/plugins/node/put_operation/parameters	T	0				
ids_properties/plugins/node/put_operation/library	A	1		1...N		
ids_properties/plugins/node/put_operation/library/name	T	0				
ids_properties/plugins/node/put_operation/library/description	T	0				
ids_properties/plugins/node/put_operation/library/commit	T	0				
ids_properties/plugins/node/put_operation/library/version	T	0				
ids_properties/plugins/node/put_operation/library/repository	T	0				
ids_properties/plugins/node/put_operation/library/parameters	T	0				
ids_properties/plugins/node/readback	A	1		1...N		
ids_properties/plugins/node/readback/name	T	0				
ids_properties/plugins/node/readback/description	T	0				
ids_properties/plugins/node/readback/commit	T	0				
ids_properties/plugins/node/readback/version	T	0				
ids_properties/plugins/node/readback/repository	T	0				
ids_properties/plugins/node/readback/parameters	T	0				
ids_properties/plugins/node/readback/library	A	1		1...N		
ids_properties/plugins/node/readback/library/name	T	0				
ids_properties/plugins/node/readback/library/description	T	0				
ids_properties/plugins/node/readback/library/commit	T	0				
ids_properties/plugins/node/readback/library/version	T	0				
ids_properties/plugins/node/readback/library/repository	T	0				
ids_properties/plugins/node/readback/library/parameters	T	0				
ids_properties/plugins/node/get_operation	A	1		1...N		
ids_properties/plugins/node/get_operation/name	T	0				
ids_properties/plugins/node/get_operation/description	T	0				
ids_properties/plugins/node/get_operation/commit	T	0				
ids_properties/plugins/node/get_operation/version	T	0				
ids_properties/plugins/node/get_operation/repository	T	0				
ids_properties/plugins/node/get_operation/parameters	T	0				
ids_properties/plugins/node/get_operation/library	A	1		1...N		
ids_properties/plugins/node/get_operation/library/name	T	0				
ids_properties/plugins/node/get_operation/library/description	T	0				
ids_properties/plugins/node/get_operation/library/commit	T	0				
ids_properties/plugins/node/get_operation/library/version	T	0				
ids_properties/plugins/node/get_operation/library/repository	T	0				
ids_properties/plugins/node/get_operation/library/parameters	T	0				
ids_properties/plugins/infrastructure_put	S	0				
ids_properties/plugins/infrastructure_put/name	T	0				
ids_properties/plugins/infrastructure_put/description	T	0				
ids_properties/plugins/infrastructure_put/commit	T	0				
ids_properties/plugins/infrastructure_put/version	T	0				
ids_properties/plugins/infrastructure_put/repository	T	0				
ids_properties/plugins/infrastructure_get	S	0				
ids_properties/plugins/infrastructure_get/name	T	0				
ids_properties/plugins/infrastructure_get/description	T	0				
ids_properties/plugins/infrastructure_get/commit	T	0				
ids_properties/plugins/infrastructure_get/version	T	0				
ids_properties/plugins/infrastructure_get/repository	T	0				
vacuum_toroidal_field	S	0				
vacuum_toroidal_field/r0	F	0	m			
vacuum_toroidal_field/b0	F	1	T	time		
midplane	S	0				
midplane/name	T	0				
midplane/index	I	0				
midplane/description	T	0				
global_quantities	S	0				
global_quantities/ip	F	1	A	time		
global_quantities/current_non_inductive	F	1	A	time		
global_quantities/current_bootstrap	F	1	A	time		
global_quantities/v_loop	F	1	V	time		
global_quantities/li_3	F	1	1	time		
global_quantities/beta_tor	F	1	1	time		
global_quantities/beta_tor_norm	F	1	1	time		
global_quantities/beta_pol	F	1	1	time		
global_quantities/energy_diamagnetic	F	1	J	time		
global_quantities/z_eff_resistive	F	1	1	time		
global_quantities/t_e_peaking	F	1	1	time		
global_quantities/t_i_average_peaking	F	1	1	time		
global_quantities/resistive_psi_losses	F	1	Wb	time		
global_quantities/ejima	F	1	1	time		
global_quantities/t_e_volume_average	F	1	eV	time		
global_quantities/n_e_volume_average	F	1	m^-3	time		
global_quantities/ion	A	1		profiles_1d(itime)/ion		
global_quantities/ion/t_i_volume_average	F	1	eV	time		
global_quantities/ion/n_i_volume_average	F	1	m^-3	time		
global_quantities/ion_time_slice	F	0	s			
profiles_1d	A	1		profiles_1d(itime)/time		
profiles_1d/grid	S	0				
profiles_1d/grid/rho_pol_norm	F	1	1	1...N		profiles_1d(itime)/grid/rho_tor;profiles_1d(itime)/grid/psi;profiles_1d(itime)/grid/volume;profiles_1d(itime)/grid/area;profiles_1d(itime)/grid/surface;profiles_1d(itime)/grid/rho_tor_norm
profiles_1d/grid/psi	F	1	Wb	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/grid/rho_tor_norm	F	1	1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/grid/rho_tor	F	1	m	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/grid/volume	F	1	m^3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/grid/area	F	1	m^2	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/grid/surface	F	1	m^2	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/grid/psi_magnetic_axis	F	0	Wb			
profiles_1d/grid/psi_boundary	F	0	Wb			
profiles_1d/electrons	S	0				
profiles_1d/electrons/temperature	F	1	eV	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/electrons/temperature_validity	I	0				
profiles_1d/electrons/temperature_fit	S	0	eV			
profiles_1d/electrons/temperature_fit/measured	F	1	mixed	1...N		
profiles_1d/electrons/temperature_fit/source	T	1		profiles_1d(itime)/electrons/temperature_fit/measured		
profiles_1d/electrons/temperature_fit/time_measurement	F	1	s	profiles_1d(itime)/electrons/temperature_fit/measured		
profiles_1d/electrons/temperature_fit/time_measurement_slice_method	S	0				
profiles_1d/electrons/temperature_fit/time_measurement_slice_method/name	T	0				
profiles_1d/electrons/temperature_fit/time_measurement_slice_method/index	I	0				
profiles_1d/electrons/temperature_fit/time_measurement_slice_method/description	T	0				
profiles_1d/electrons/temperature_fit/time_measurement_width	F	1	s	profiles_1d(itime)/electrons/temperature_fit/measured		
profiles_1d/electrons/temperature_fit/local	I	1		profiles_1d(itime)/electrons/temperature_fit/measured		
profiles_1d/electrons/temperature_fit/rho_tor_norm	F	1	1	profiles_1d(itime)/electrons/temperature_fit/measured		
profiles_1d/electrons/temperature_fit/rho_pol_norm	F	1	1	profiles_1d(itime)/electrons/temperature_fit/measured		
profiles_1d/electrons/temperature_fit/weight	F	1	1	profiles_1d(itime)/electrons/temperature_fit/measured		
profiles_1d/electrons/temperature_fit/reconstructed	F	1	mixed	profiles_1d(itime)/electrons/temperature_fit/measured		
profiles_1d/electrons/temperature_fit/chi_squared	F	1	1	profiles_1d(itime)/electrons/temperature_fit/measured		
profiles_1d/electrons/temperature_fit/parameters	T	0				
profiles_1d/electrons/density	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/electrons/density_validity	I	0				
profiles_1d/electrons/density_fit	S	0	m^-3			
profiles_1d/electrons/density_fit/measured	F	1	mixed	1...N		
profiles_1d/electrons/density_fit/source	T	1		profiles_1d(itime)/electrons/density_fit/measured		
profiles_1d/electrons/density_fit/time_measurement	F	1	s	profiles_1d(itime)/electrons/density_fit/measured		
profiles_1d/electrons/density_fit/time_measurement_slice_method	S	0				
profiles_1d/electrons/density_fit/time_measurement_slice_method/name	T	0				
profiles_1d/electrons/density_fit/time_measurement_slice_method/index	I	0				
profiles_1d/electrons/density_fit/time_measurement_slice_method/description	T	0				
profiles_1d/electrons/density_fit/time_measurement_width	F	1	s	profiles_1d(itime)/electrons/density_fit/measured		
profiles_1d/electrons/density_fit/local	I	1		profiles_1d(itime)/electrons/density_fit/measured		
profiles_1d/electrons/density_fit/rho_tor_norm	F	1	1	profiles_1d(itime)/electrons/density_fit/measured		
profiles_1d/electrons/density_fit/rho_pol_norm	F	1	1	profiles_1d(itime)/electrons/density_fit/measured		
profiles_1d/electrons/density_fit/weight	F	1	1	profiles_1d(itime)/electrons/density_fit/measured		
profiles_1d/electrons/density_fit/reconstructed	F	1	mixed	profiles_1d(itime)/electrons/density_fit/measured		
profiles_1d/electrons/density_fit/chi_squared	F	1	1	profiles_1d(itime)/electrons/density_fit/measured		
profiles_1d/electrons/density_fit/parameters	T	0				
profiles_1d/electrons/density_thermal	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/electrons/density_fast	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/electrons/pressure	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/electrons/pressure_thermal	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/electrons/pressure_fast_perpendicular	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/electrons/pressure_fast_parallel	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/electrons/collisionality_norm	F	1	1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion	A	1		1...N		
profiles_1d/ion/element	A	1		1...N		
profiles_1d/ion/element/a	F	0	u			
profiles_1d/ion/element/z_n	I	0	e			
profiles_1d/ion/element/atoms_n	I	0				
profiles_1d/ion/z_ion	F	0	e			
profiles_1d/ion/name	T	0				
profiles_1d/ion/neutral_index	I	0				
profiles_1d/ion/z_ion_1d	F	1	1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/z_ion_square_1d	F	1	1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/temperature	F	1	eV	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/temperature_validity	I	0				
profiles_1d/ion/temperature_fit	S	0	eV			
profiles_1d/ion/temperature_fit/measured	F	1	mixed	1...N		
profiles_1d/ion/temperature_fit/source	T	1		profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/time_measurement	F	1	s	profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/time_measurement_slice_method	S	0				
profiles_1d/ion/temperature_fit/time_measurement_slice_method/name	T	0				
profiles_1d/ion/temperature_fit/time_measurement_slice_method/index	I	0				
profiles_1d/ion/temperature_fit/time_measurement_slice_method/description	T	0				
profiles_1d/ion/temperature_fit/time_measurement_width	F	1	s	profiles_1d(itime)/ion(i1)/temperature_fit/measured		
