# fylite/ids-table/1
# dd_version 4.1.1
# ids gyrokinetics_local
# columns path kind ndim units coordinates same_as alternatives
ids_properties	S	0				
ids_properties/comment	T	0				
ids_properties/name	T	0				
ids_properties/homogeneous_time	I	0				
ids_properties/occurrence_type	S	0				
ids_properties/occurrence_type/name	T	0				
ids_properties/occurrence_type/index	I	0				
ids_properties/occurrence_type/description	T	0				
ids_properties/provider	T	0				
ids_properties/creation_date	T	0				
ids_properties/version_put	S	0				
ids_properties/version_put/data_dictionary	T	0				
ids_properties/version_put/access_layer	T	0				
ids_properties/version_put/access_layer_language	T	0				
ids_properties/provenance	S	0				
ids_properties/provenance/node	A	1		1...N		
ids_properties/provenance/node/path	T	0				
ids_properties/provenance/node/reference	A	1		1...N		
ids_properties/provenance/node/reference/name	T	0				
ids_properties/provenance/node/reference/timestamp	T	0				
ids_properties/plugins	S	0				
ids_properties/plugins/node	A	1		1...N		
ids_properties/plugins/node/path	T	0				
ids_properties/plugins/node/put_operation	A	1		1...N		
ids_properties/plugins/node/put_operation/name	T	0				
ids_properties/plugins/node/put_operation/description	T	0				
ids_properties/plugins/node/put_operation/commit	T	0				
ids_properties/plugins/node/put_operation/version	T	0				
ids_properties/plugins/node/put_operation/repository	T	0				
ids_properties/plugins/node/put_operation/parameters	T	0				
ids_properties/plugins/node/put_operation/library	A	1		1...N		
ids_properties/plugins/node/put_operation/library/name	T	0				
ids_properties/plugins/node/put_operation/library/description	T	0				
ids_properties/plugins/node/put_operation/library/commit	T	0				
ids_properties/plugins/node/put_operation/library/version	T	0				
ids_properties/plugins/node/put_operation/library/repository	T	0				
ids_properties/plugins/node/put_operation/library/parameters	T	0				
ids_properties/plugins/node/readback	A	1		1...N		
ids_properties/plugins/node/readback/name	T	0				
ids_properties/plugins/node/readback/description	T	0				
ids_properties/plugins/node/readback/commit	T	0				
ids_properties/plugins/node/readback/version	T	0				
ids_properties/plugins/node/readback/repository	T	0				
ids_properties/plugins/node/readback/parameters	T	0				
ids_properties/plugins/node/readback/library	A	1		1...N		
ids_properties/plugins/node/readback/library/name	T	0				
ids_properties/plugins/node/readback/library/description	T	0				
ids_properties/plugins/node/readback/library/commit	T	0				
ids_properties/plugins/node/readback/library/version	T	0				
ids_properties/plugins/node/readback/library/repository	T	0				
ids_properties/plugins/node/readback/library/parameters	T	0				
ids_properties/plugins/node/get_operation	A	1		1...N		
ids_properties/plugins/node/get_operation/name	T	0				
ids_properties/plugins/node/get_operation/description	T	0				
ids_properties/plugins/node/get_operation/commit	T	0				
ids_properties/plugins/node/get_operation/version	T	0				
ids_properties/plugins/node/get_operation/repository	T	0				
ids_properties/plugins/node/get_operation/parameters	T	0				
ids_properties/plugins/node/get_operation/library	A	1		1...N		
ids_properties/plugins/node/get_operation/library/name	T	0				
ids_properties/plugins/node/get_operation/library/description	T	0				
ids_properties/plugins/node/get_operation/library/commit	T	0				
ids_properties/plugins/node/get_operation/library/version	T	0				
ids_properties/plugins/node/get_operation/library/repository	T	0				
ids_properties/plugins/node/get_operation/library/parameters	T	0				
ids_properties/plugins/infrastructure_put	S	0				
ids_properties/plugins/infrastructure_put/name	T	0				
ids_properties/plugins/infrastructure_put/description	T	0				
ids_properties/plugins/infrastructure_put/commit	T	0				
ids_properties/plugins/infrastructure_put/version	T	0				
ids_properties/plugins/infrastructure_put/repository	T	0				
ids_properties/plugins/infrastructure_get	S	0				
ids_properties/plugins/infrastructure_get/name	T	0				
ids_properties/plugins/infrastructure_get/description	T	0				
ids_properties/plugins/infrastructure_get/commit	T	0				
ids_properties/plugins/infrastructure_get/version	T	0				
ids_properties/plugins/infrastructure_get/repository	T	0				
normalizing_quantities	S	0				
normalizing_quantities/t_e	F	0	eV			
normalizing_quantities/n_e	F	0	m^-3			
normalizing_quantities/r	F	0	m			
normalizing_quantities/b_field_phi	F	0	T			
flux_surface	S	0				
flux_surface/r_minor_norm	F	0	1			
flux_surface/elongation	F	0	1			
flux_surface/delongation_dr_minor_norm	F	0	1			
flux_surface/dgeometric_axis_r_dr_minor	F	0	1			
flux_surface/dgeometric_axis_z_dr_minor	F	0	1			
flux_surface/q	F	0	1			
flux_surface/magnetic_shear_r_minor	F	0	1			
flux_surface/pressure_gradient_norm	F	0	1			
flux_surface/ip_sign	F	0	1			
flux_surface/b_field_phi_sign	F	0	1			
flux_surface/shape_coefficients_c	F	1	1	1...N		
flux_surface/dc_dr_minor_norm	F	1	1	flux_surface/shape_coefficients_c		
flux_surface/shape_coefficients_s	F	1	1	1...N		
flux_surface/ds_dr_minor_norm	F	1	1	flux_surface/shape_coefficients_s		
linear	S	0				
linear/wavevector	A	1		1...N		
linear/wavevector/radial_wavevector_norm	F	0	1			
linear/wavevector/binormal_wavevector_norm	F	0	1			
linear/wavevector/eigenmode	A	1		1...N		
linear/wavevector/eigenmode/poloidal_turns	I	0				
linear/wavevector/eigenmode/growth_rate_norm	F	0	1			
linear/wavevector/eigenmode/frequency_norm	F	0	1			
linear/wavevector/eigenmode/growth_rate_tolerance	F	0	1			
linear/wavevector/eigenmode/angle_pol	F	1	1	1...N		
linear/wavevector/eigenmode/time_norm	F	1	1	1...N		
linear/wavevector/eigenmode/fields	S	0				
linear/wavevector/eigenmode/fields/phi_potential_perturbed_weight	F	1	1	linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/fields/phi_potential_perturbed_parity	F	1	1	linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/fields/a_field_parallel_perturbed_weight	F	1	1	linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/fields/a_field_parallel_perturbed_parity	F	1	1	linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/fields/b_field_parallel_perturbed_weight	F	1	1	linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/fields/b_field_parallel_perturbed_parity	F	1	1	linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/fields/phi_potential_perturbed_norm	C	2	1	linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/fields/a_field_parallel_perturbed_norm	C	2	1	linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/fields/b_field_parallel_perturbed_norm	C	2	1	linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/code	S	0				
linear/wavevector/eigenmode/code/parameters	T	0				
linear/wavevector/eigenmode/code/output_flag	I	0				
linear/wavevector/eigenmode/initial_value_run	I	0				
linear/wavevector/eigenmode/moments_norm_gyrocenter	S	0				
linear/wavevector/eigenmode/moments_norm_gyrocenter/density	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter/j_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter/pressure_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter/pressure_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter/pressure	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter/heat_flux_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter/v_parallel_energy_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter/v_perpendicular_square_energy	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle	S	0				
linear/wavevector/eigenmode/moments_norm_particle/density	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/j_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/pressure_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/pressure_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/pressure	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/heat_flux_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/v_parallel_energy_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/v_perpendicular_square_energy	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0	S	0				
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/density	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/j_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/pressure_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/pressure_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
